epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.297,1.51359,2.98648,1.83486,0.25157,0.36921,0.25825,0.12647,2.09959,2.83795,2.34958,0.000332168,0.000332168,0.000332168
2,341.028,1.61847,2.48737,1.88669,0.48642,0.31904,0.29054,0.15124,1.85796,2.84138,2.0592,0.000632559,0.000632559,0.000632559
3,492.576,1.56616,2.3984,1.84563,0.30348,0.3976,0.32784,0.18525,1.74347,2.40419,1.94135,0.00089995,0.00089995,0.00089995
4,669.762,1.54161,2.30264,1.80172,0.38487,0.40167,0.37903,0.21329,1.63319,2.48913,1.82565,0.0008515,0.0008515,0.0008515
5,822.793,1.46711,2.18771,1.74225,0.46103,0.47938,0.48869,0.26345,1.59008,1.98927,1.75721,0.000802,0.000802,0.000802
6,973.933,1.43345,2.08478,1.7158,0.48625,0.52362,0.49105,0.28086,1.48508,1.87478,1.6793,0.0007525,0.0007525,0.0007525
7,1125.53,1.37495,1.95967,1.66057,0.54216,0.48989,0.51273,0.28724,1.4979,1.79453,1.64017,0.000703,0.000703,0.000703
8,1276.61,1.34857,1.93869,1.64697,0.53614,0.53554,0.54422,0.31442,1.44032,1.67664,1.62261,0.0006535,0.0006535,0.0006535
9,1429.78,1.32074,1.86651,1.64129,0.58788,0.51507,0.53842,0.3203,1.56449,1.74552,1.70691,0.000604,0.000604,0.000604
10,1583.54,1.30785,1.82586,1.60813,0.65269,0.58269,0.62376,0.37932,1.39553,1.6343,1.54542,0.0005545,0.0005545,0.0005545
11,1747.71,1.26322,1.63753,1.64925,0.61793,0.6289,0.63185,0.39236,1.36383,1.51268,1.48155,0.000505,0.000505,0.000505
12,1900.38,1.23802,1.54891,1.61282,0.66809,0.62257,0.65094,0.41047,1.32301,1.4132,1.46068,0.0004555,0.0004555,0.0004555
13,2052.49,1.20645,1.45778,1.59484,0.65602,0.62224,0.6524,0.39172,1.38375,1.43014,1.54667,0.000406,0.000406,0.000406
14,2202.95,1.19179,1.39937,1.59795,0.66386,0.60863,0.64656,0.41964,1.30703,1.39062,1.45383,0.0003565,0.0003565,0.0003565
15,2353.38,1.15696,1.33927,1.55492,0.6891,0.62858,0.67649,0.43218,1.29057,1.35226,1.42895,0.000307,0.000307,0.000307
16,2504.79,1.13868,1.29167,1.54787,0.6841,0.66651,0.69684,0.46013,1.23644,1.27697,1.39086,0.0002575,0.0002575,0.0002575
17,2656.64,1.1062,1.22849,1.51407,0.72095,0.66235,0.71222,0.47025,1.22712,1.22329,1.38309,0.000208,0.000208,0.000208
18,2806.85,1.0853,1.16336,1.50278,0.73514,0.66927,0.72824,0.47729,1.25296,1.20006,1.38857,0.0001585,0.0001585,0.0001585
19,2958.78,1.06622,1.13255,1.48346,0.70107,0.69849,0.74165,0.49224,1.22837,1.15478,1.37733,0.000109,0.000109,0.000109
20,3109.37,1.05999,1.0837,1.47023,0.73681,0.68216,0.74501,0.49861,1.20522,1.13498,1.34808,5.95e-05,5.95e-05,5.95e-05
